wav, nm;  tau[toa:10km];  tau[toa:2km];  tau[toa:0km]
308.0  1.253077e-07  9.027017e-07  1.393553e-06
308.1  1.280623e-07  9.226802e-07  1.424044e-06
308.1  1.309566e-07  9.425335e-07  1.454533e-06
308.2  1.339444e-07  9.637178e-07  1.486997e-06
308.2  1.369476e-07  9.844167e-07  1.518802e-06
308.2  1.400444e-07  1.006383e-06  1.552220e-06
308.3  1.432809e-07  1.028223e-06  1.585637e-06
308.3  1.464866e-07  1.051099e-06  1.620732e-06
308.3  1.498320e-07  1.073785e-06  1.655464e-06
308.4  1.531468e-07  1.097443e-06  1.691513e-06
308.4  1.565858e-07  1.121460e-06  1.728220e-06
308.5  1.601491e-07  1.145838e-06  1.765584e-06
308.5  1.638213e-07  1.170997e-06  1.803902e-06
308.5  1.674783e-07  1.196706e-06  1.843240e-06
308.6  1.712595e-07  1.222775e-06  1.883235e-06
308.6  1.751497e-07  1.249625e-06  1.924184e-06
308.7  1.790245e-07  1.277025e-06  1.966153e-06
308.7  1.830237e-07  1.304721e-06  2.008418e-06
308.7  1.868832e-07  1.332671e-06  2.051407e-06
308.8  1.946263e-07  1.368891e-06  2.102617e-06
308.8  1.775935e-07  1.356083e-06  2.108379e-06
308.8  3.162424e-07  1.664425e-06  2.416380e-06
308.9  4.229340e-07  2.175989e-06  3.036039e-06
308.9  4.224984e-07  2.005548e-06  2.763451e-06
309.0  4.011243e-07  2.361731e-06  3.622255e-06
309.0  4.376000e-07  2.421102e-06  3.581167e-06
309.0  3.616115e-07  2.471150e-06  3.711249e-06
309.1  4.259182e-07  2.256779e-06  3.622018e-06
309.1  4.111696e-07  2.747786e-06  4.062444e-06
309.2  3.648417e-07  2.529215e-06  4.020588e-06
309.2  4.393965e-07  2.340723e-06  3.681162e-06
309.2  4.198839e-07  2.343576e-06  3.566748e-06
309.3  3.959210e-07  2.321098e-06  3.435102e-06
309.3  4.265435e-07  2.334622e-06  3.671856e-06
309.3  4.086526e-07  2.379720e-06  3.541728e-06
309.4  4.078036e-07  2.773419e-06  4.187810e-06
309.4  3.949043e-07  2.832677e-06  4.376481e-06
309.5  3.857897e-07  2.666803e-06  4.337619e-06
309.5  3.536062e-07  2.550651e-06  4.130563e-06
309.5  4.484166e-07  2.879604e-06  4.315340e-06
309.6  3.897509e-07  3.072257e-06  4.718440e-06
309.6  4.378346e-07  2.889065e-06  4.682940e-06
309.6  4.611649e-07  3.281684e-06  4.993325e-06
309.7  3.902744e-07  2.956596e-06  4.793185e-06
309.7  4.333583e-07  2.941853e-06  4.883686e-06
309.8  4.130266e-07  3.038263e-06  4.748423e-06
309.8  5.113170e-07  2.713651e-06  4.435734e-06
309.8  4.940142e-07  3.517456e-06  5.727529e-06
309.9  4.340602e-07  3.268660e-06  4.817119e-06
309.9  5.100522e-07  3.555861e-06  5.713009e-06
310.0  5.601131e-07  3.448844e-06  5.355035e-06
310.0  5.240672e-07  3.531957e-06  5.401318e-06
310.0  5.385045e-07  3.744466e-06  6.059454e-06
310.1  5.709971e-07  3.941681e-06  6.055086e-06
310.1  5.446086e-07  3.877720e-06  5.907403e-06
310.1  6.033485e-07  3.976532e-06  6.172851e-06
310.2  6.146197e-07  3.975584e-06  6.128482e-06
310.2  5.315178e-07  3.922497e-06  6.243386e-06
310.3  5.986867e-07  4.216100e-06  6.399312e-06
310.3  6.141006e-07  4.242177e-06  6.522062e-06
310.3  6.498096e-07  4.620143e-06  7.679796e-06
310.4  5.881873e-07  4.176021e-06  6.772124e-06
310.4  5.745091e-07  4.221039e-06  6.738762e-06
310.4  6.093225e-07  4.395684e-06  7.030701e-06
310.5  6.571512e-07  4.576745e-06  7.082726e-06
310.5  6.280654e-07  4.413815e-06  7.195453e-06
310.6  6.353544e-07  4.194340e-06  6.691711e-06
310.6  6.079609e-07  4.771101e-06  7.577229e-06
310.6  6.077489e-07  4.617023e-06  7.499852e-06
310.7  7.029280e-07  4.832081e-06  7.766538e-06
310.7  6.443746e-07  4.852378e-06  7.833072e-06
310.8  6.480709e-07  4.856766e-06  7.830479e-06
310.8  6.538737e-07  4.497467e-06  7.521053e-06
310.8  6.537485e-07  5.049457e-06  8.100946e-06
310.9  7.526161e-07  4.931471e-06  7.901609e-06
310.9  6.919543e-07  5.281070e-06  8.445054e-06
310.9  6.714226e-07  4.941540e-06  8.211949e-06
311.0  7.425419e-07  5.808764e-06  9.312010e-06
311.0  7.472163e-07  5.244844e-06  8.643928e-06
